ticker,year,sigma_E,method,days_used,flag,size_bucket
CHCO,2018,0.229879087016321,daily_252,251,,small
CHCO,2019,0.22371029107491217,daily_252,251,,small
CHCO,2020,0.19607025150965693,daily_252,252,,small
CHCO,2021,0.48560053288248967,daily_252,253,,small
CHCO,2022,0.24088322586044483,daily_252,252,,small
CHCO,2023,0.20644731863609106,daily_252,251,,small
CHMG,2016,0.2452618876692069,daily_252,252,,
CHMG,2017,0.2485339088663449,daily_252,252,,
CHMG,2018,0.26726280170461897,daily_252,251,,small
CHMG,2019,0.28148447688360717,daily_252,251,,small
CHMG,2020,0.2861134836446426,daily_252,252,,small
CHMG,2021,0.7861543300804973,daily_252,253,,small
CHMG,2022,0.2867953358425078,daily_252,252,,small
CHMG,2023,0.18823612433646494,daily_252,251,,small
CIVB,2016,0.2821029017321341,daily_252,252,,
CIVB,2017,0.31876178159085483,daily_252,252,,
CIVB,2018,0.28423450381754195,daily_252,251,,small
CIVB,2019,0.2570015782622084,daily_252,251,,small
CIVB,2020,0.2563738769345058,daily_252,252,,small
CIVB,2021,0.7422703109543715,daily_252,253,,small
CIVB,2022,0.3126489737469692,daily_252,252,,small
CIVB,2023,0.2441347447817786,daily_252,251,,small
CIZnv.OQ^J24,2016,0.35405451206712435,daily_252,261,,
CIZnv.OQ^J24,2017,0.26815638407055364,daily_252,237,,
CIZnv.OQ^J24,2018,0.5196200356910284,daily_252,228,,
CIZnv.OQ^J24,2019,0.4190968973434979,daily_252,493,,
CIZnv.OQ^J24,2020,,imputed_peer,69,no_daily_data,
CIZnv.OQ^J24,2021,0.9880256619281967,daily_252,590,,
CIZnv.OQ^J24,2022,,imputed_peer,0,no_daily_data,
CIZnv.OQ^J24,2023,,imputed_peer,0,no_daily_data,
CLBK,2016,,imputed_peer,0,no_daily_data,
CLBK,2017,,imputed_peer,0,no_daily_data,
CLBK,2018,,imputed_peer,0,no_daily_data,
CLBK,2019,0.1837631032337522,daily_partial,175,insufficient_days,small
CLBK,2020,0.1646863698050834,daily_252,252,,small
CLBK,2021,0.4141933279283645,daily_252,253,,small
CLBK,2022,0.22164360912555753,daily_252,252,,small
CLBK,2023,0.2749432689641583,daily_252,251,,small
CMA,2016,0.28386184076052956,daily_252,252,,small
CMA,2017,0.3258517598414623,daily_252,252,,small
CMA,2018,0.22433881584007856,daily_252,251,,small
CMA,2019,0.24014278515912782,daily_252,251,,small
CMA,2020,0.2684997107407304,daily_252,252,,small
CMA,2021,0.7671844286923288,daily_252,253,,small
CMA,2022,0.33728939817147596,daily_252,252,,small
CMA,2023,0.37041489114471693,daily_252,251,,small
CNOB,2016,0.19752555968772484,daily_252,252,,
CNOB,2017,0.28168233553253536,daily_252,252,,small
CNOB,2018,0.2652659289990734,daily_252,251,,small
CNOB,2019,0.2557223420154113,daily_252,251,,small
CNOB,2020,0.23464078408660421,daily_252,252,,small
CNOB,2021,0.7484804806164517,daily_252,253,,small
CNOB,2022,0.30979586085921046,daily_252,252,,small
CNOB,2023,0.28854351177683424,daily_252,251,,small
COFS,2016,,imputed_peer,0,no_daily_data,
COFS,2017,,imputed_peer,0,no_daily_data,
COFS,2018,0.245226588249759,imputed_peer,0,no_daily_data,small
COFS,2019,0.24332152929237977,imputed_peer,0,no_daily_data,small
