Index,Date,Instrument,Total Return
307,2018,BRKL.O^I25,-1.914377544
308,2019,BRKL.O^I25,-9.86183687
309,2020,BRKL.O^I25,22.58550153
310,2021,BRKL.O^I25,-23.6543267
311,2022,BRKL.O^I25,38.73044478
312,2023,BRKL.O^I25,-9.421901366
313,2024,BRKL.O^I25,-18.42011927
314,2013,BSRR.OQ,33.04904158
315,2014,BSRR.OQ,43.26574774
316,2015,BSRR.OQ,11.42822459
317,2016,BSRR.OQ,3.125761986
318,2017,BSRR.OQ,54.87062889
319,2018,BSRR.OQ,2.015012128
320,2019,BSRR.OQ,-7.435939422
321,2020,BSRR.OQ,24.57859606
322,2021,BSRR.OQ,-14.69340931
323,2022,BSRR.OQ,17.51665844
324,2023,BSRR.OQ,-18.59043307
325,2024,BSRR.OQ,11.43549857
326,2013,BUSE.OQ,-2.307235432
327,2014,BUSE.OQ,27.90696436
328,2015,BUSE.OQ,16.00080981
329,2016,BUSE.OQ,9.061396787
330,2017,BUSE.OQ,54.02459784
331,2018,BUSE.OQ,-0.369091416
332,2019,BUSE.OQ,-15.88729711
333,2020,BUSE.OQ,15.78493935
334,2021,BUSE.OQ,-17.97188242
335,2022,BUSE.OQ,30.75931341
336,2023,BUSE.OQ,-5.414188463
337,2024,BUSE.OQ,5.087201383
338,2013,BWB.OQ,NaN
339,2014,BWB.OQ,NaN
340,2015,BWB.OQ,NaN
341,2016,BWB.OQ,NaN
342,2017,BWB.OQ,NaN
343,2018,BWB.OQ,NaN
344,2019,BWB.OQ,-16.40253566
345,2020,BWB.OQ,30.61611374
346,2021,BWB.OQ,-9.361393327
347,2022,BWB.OQ,41.63330664
348,2023,BWB.OQ,0.282645561
349,2024,BWB.OQ,-23.7880496
350,2013,BWFG.O,3.846153844
351,2014,BWFG.O,54.81481482
352,2015,BWFG.O,0.478468899
353,2016,BWFG.O,-5.235181272
354,2017,BWFG.O,65.32964225
355,2018,BWFG.O,6.54980966
356,2019,BWFG.O,-15.09285547
357,2020,BWFG.O,2.328189082
358,2021,BWFG.O,-30.0281143
359,2022,BWFG.O,71.90946832
360,2023,BWFG.O,-8.188676784
361,2024,BWFG.O,5.723097954
362,2013,BY,NaN
363,2014,BY,NaN
364,2015,BY,NaN
365,2016,BY,NaN
366,2017,BY,NaN
367,2018,BY,14.56359102
368,2019,BY,-27.47061385
369,2020,BY,17.6489181
370,2021,BY,-20.22926763
371,2022,BY,79.30251804
372,2023,BY,-14.74298092
373,2024,BY,4.323214169
374,2013,CAC.OQ,7.191962595
375,2014,CAC.OQ,28.01704692
376,2015,CAC.OQ,-2.977081086
377,2016,CAC.OQ,14.10560984
378,2017,CAC.OQ,55.47911847
379,2018,CAC.OQ,-3.172205288
380,2019,CAC.OQ,-12.45700164
381,2020,CAC.OQ,31.78065839
382,2021,CAC.OQ,-19.26669717
383,2022,CAC.OQ,38.86818999
384,2023,CAC.OQ,-10.3621326
385,2024,CAC.OQ,-5.008028109
386,2013,CADE.N,31.94192377
387,2014,CADE.N,74.82806052
388,2015,CADE.N,-11.447679
389,2016,CADE.N,6.574855624
390,2017,CADE.N,29.42892872
391,2018,CADE.N,1.288244769
392,2019,CADE.N,-15.47192933
393,2020,CADE.N,23.02709065
394,2021,CADE.N,-11.40226323
395,2022,CADE.N,15.37262548
396,2023,CADE.N,-14.34512049
397,2024,CADE.N,24.95660682
398,2013,CATY.OQ,30.92133603
399,2014,CATY.OQ,37.521548
400,2015,CATY.OQ,-3.155967595
401,2016,CATY.OQ,24.71105869
402,2017,CATY.OQ,24.33921457
403,2018,CATY.OQ,13.41965306
404,2019,CATY.OQ,-18.47875887
