symbol,year,market_cap
CCBG,2020,419209442.0
CCBG,2021,445950384.0
CCBG,2022,552070512.5
CCBG,2023,498845033.46
CCNE,2016,560986482.0
CCNE,2017,550496832.0
CCNE,2018,481474935.0
CCNE,2019,685603524.0
CCNE,2020,446649297.0
CCNE,2021,446659143.0
CCNE,2022,499761026.31
CCNE,2023,472050557.01
CFFI,2016,161471129.0
CFFI,2017,187870120.0
CFFI,2018,172354639.4
CFFI,2019,179221616.2
CFFI,2020,120204485.4
CFFI,2021,181496909.26
CFFI,2022,202582297.78
CFFI,2023,230079742.62
CFG,2016,15450913584.96
CFG,2017,18204584684.16
CFG,2018,12892384532.16
CFG,2019,17610485565.12
CFG,2020,15507287953.92
CFG,2021,19945982558.25
CFG,2022,19381148560.46
CFG,2023,15457094342.7
CFR,2016,5672121417.0
CFR,2017,6084849735.0
CFR,2018,5653477926.0
CFR,2019,6286070862.0
CFR,2020,5607833517.0
CFR,2021,8066744772.519999
CFR,2022,8604222721.5
CFR,2023,6963461786.63
CHCO,2016,979017000.0
CHCO,2017,977134275.0
CHCO,2018,978872175.0
CHCO,2019,1186840875.0
CHCO,2020,1007257875.0
CHCO,2021,1231909365.8200002
CHCO,2022,1376628790.41
CHCO,2023,1635356142.42
CHMG,2016,174147397.5
CHMG,2017,230439885.0
CHMG,2018,197910013.5
CHMG,2019,203611125.0
CHMG,2020,162649357.5
CHMG,2021,213946237.68
CHMG,2022,215342586.36
CHMG,2023,235923167.4
CIVB,2016,301536113.0
CIVB,2017,341420200.0
CIVB,2018,270342722.0
CIVB,2019,372458400.0
CIVB,2020,272049823.0
CIVB,2021,364882480.0
CIVB,2022,346178430.34000003
CIVB,2023,289423618.56
CIZN,2016,145718001.0
CIZN,2017,130216086.0
CIZN,2018,118378260.0
CIZN,2019,123338872.8
CIZN,2020,118096407.0
CIZN,2021,105694875.0
CIZN,2022,77227722.0
CIZN,2023,43687215.0
CLBK,2016,
CLBK,2017,
CLBK,2018,1604349120.0
CLBK,2019,1777480320.0000002
CLBK,2020,1632679680.0
CLBK,2021,2188798080.0
CLBK,2022,2268543360.0
CLBK,2023,2023011840.0
CMA,2016,8950539430.0
CMA,2017,11407962530.0
CMA,2018,9026758970.0
CMA,2019,9428882750.0
CMA,2020,7340730180.0
CMA,2021,11369851824.0
CMA,2022,8755134724.699999
CMA,2023,7361241667.360001
CNOB,2016,1302861270.0
CNOB,2017,1292819950.0
CNOB,2018,927315902.0
CNOB,2019,1291313752.0
CNOB,2020,993588614.0
CNOB,2021,1294272223.9
CNOB,2022,950076007.83
CNOB,2023,882487930.7
COFS,2016,
COFS,2017,
COFS,2018,
COFS,2019,
COFS,2020,461666283.0
COFS,2021,396934107.0
COFS,2022,434544700.0
COFS,2023,439039990.0
COLB,2016,9236067319.430689
COLB,2017,8979739632.63344
COLB,2018,7529640671.814976
COLB,2019,8504661704.617056
COLB,2020,7546431587.2
COLB,2021,7087986556.32
COLB,2022,6539846571.21
COLB,2023,5565038915.559999
CPF,2016,847582778.0
CPF,2017,804691097.0
CPF,2018,656863165.0
CPF,2019,797947122.0
CPF,2020,512811859.00000006
CPF,2021,780705380.07
CPF,2022,548068419.6
CPF,2023,532246249.44
CTBI,2016,898300640.0
CTBI,2017,853023390.0
CTBI,2018,717372749.0
CTBI,2019,844692376.0
CTBI,2020,671008845.0
CTBI,2021,778136762.41
CTBI,2022,822986600.4
CTBI,2023,789472982.4
CUBI,2016,1131474996.0
CUBI,2017,820966922.0
CUBI,2018,574897960.0
CUBI,2019,752105518.0
CUBI,2020,574266204.0
CUBI,2021,2151540263.79
CUBI,2022,917470572.98
CUBI,2023,1811625003.72
CVBF,2016,3159868466.56
CVBF,2017,3246685611.52
CVBF,2018,2787794988.16
CVBF,2019,2973831727.36
CVBF,2020,2687197344.0
CVBF,2021,2901612195.25
CVBF,2022,3600331602.25
CVBF,2023,2813375166.3900003
CWBC,2016,380463548.0
CWBC,2017,384657034.0
CWBC,2018,359686731.0
CWBC,2019,413058371.00000006
CWBC,2020,283822757.0
CWBC,2021,395903201.0
CWBC,2022,403718334.0
CWBC,2023,426020055.0
CZFS,2016,
CZFS,2017,
CZFS,2018,
CZFS,2019,
CZFS,2020,
CZFS,2021,
CZFS,2022,357220441.11533
CZFS,2023,304996086.59793
CZNC,2016,404365938.5282
CZNC,2017,370411552.4208
CZNC,2018,407915720.399
CZNC,2019,437722450.0
CZNC,2020,307412864.0
CZNC,2021,411627430.8
CZNC,2022,354760202.34
CZNC,2023,343069878.05
DCOM,2016,1660724940.0
DCOM,2017,1533651000.0
DCOM,2018,1116936114.0
DCOM,2019,1469237658.0
DCOM,2020,1059533748.0
DCOM,2021,1402104608.28
DCOM,2022,1227778590.0
DCOM,2023,1045494072.22
DFS,2016,18141664193.280003
DFS,2017,19357148144.64
DFS,2018,14842493468.16
DFS,2019,21345206781.44
DFS,2020,22782145365.76
DFS,2021,33319220659.2
DFS,2022,26158156273.53
DFS,2023,28111561464.0
EBC,2016,
EBC,2017,
EBC,2018,
EBC,2019,
EBC,2020,3154973779.9999995
EBC,2021,3901644460.000001
EBC,2022,3336805500.0
EBC,2023,2746819600.0
EBMT,2016,167790998.0
EBMT,2017,166598171.0
EBMT,2018,128586750.6
EBMT,2019,170097130.20000002
EBMT,2020,168745259.6
EBMT,2021,156144756.78
EBMT,2022,129377493.28
EBMT,2023,126585019.36
EBTC,2016,469815504.0
EBTC,2017,425911020.0
EBTC,2018,402270144.0
EBTC,2019,423659508.0
EBTC,2020,319589620.0
EBTC,2021,540764119.44
EBTC,2022,428313114.8
EBTC,2023,395916463.24
EFSC,2016,1588106100.0
EFSC,2017,1667511405.0
EFSC,2018,1389777501.0
EFSC,2019,1780525467.0
EFSC,2020,1290797865.0
EFSC,2021,1780921290.98
EFSC,2022,1823921176.32
EFSC,2023,1670625650.2
EGBN,2016,1851502530.0
EGBN,2017,1758851460.0
EGBN,2018,1479683154.0
EGBN,2019,1477252962.0
EGBN,2020,1254586620.0
EGBN,2021,1863968367.28
EGBN,2022,1381458015.21
EGBN,2023,901957945.68
EQBK,2016,589221420.0
EQBK,2017,620223854.9999999
EQBK,2018,617421375.0
EQBK,2019,540703485.0
EQBK,2020,378159645.0
EQBK,2021,594300915.0
EQBK,2022,572231385.0
EQBK,2023,593775450.0
ESQ,2016,
ESQ,2017,167452887.1
ESQ,2018,183614333.0
ESQ,2019,220591044.3
ESQ,2020,162375993.10000002
ESQ,2021,267552313.8
ESQ,2022,366044057.4
ESQ,2023,422736040.4
EVBN,2016,175650839.0
EVBN,2017,233273222.0
EVBN,2018,180995523.8
EVBN,2019,223251938.0
EVBN,2020,153325645.2
EVBN,2021,220955066.8
EVBN,2022,203291224.72
EVBN,2023,173407811.16
EWBC,2016,7005644343.36
EWBC,2017,8383894263.36
EWBC,2018,5999521901.76
EWBC,2019,6712077110.400001
EWBC,2020,6989105344.32
EWBC,2021,11165317820.72
EWBC,2022,9288463051.400002
EWBC,2023,10074969055.65
EXSR,2016,214292500.0
EXSR,2017,260579680.0
EXSR,2018,282866100.0
EXSR,2019,306866860.0
EXSR,2020,253722320.0
EXSR,2021,266511296.4
EXSR,2022,193771850.2
EXSR,2023,173148340.0
FBIZ,2016,197322884.8
FBIZ,2017,184012740.8
FBIZ,2018,162300568.4
FBIZ,2019,219035057.2
FBIZ,2020,153149844.4
FBIZ,2021,246707141.88000005
FBIZ,2022,305634206.75
FBIZ,2023,333422597.8
FBK,2016,1394807310.0
FBK,2017,2256954102.0
FBK,2018,1882317996.0
FBK,2019,2127954582.0
FBK,2020,1866730554.0
FBK,2021,2355316236.0
FBK,2022,1942517772.0
FBK,2023,2141929530.0
FBNC,2016,1124144228.0
FBNC,2017,1462547262.0
FBNC,2018,1352783731.9999998
FBNC,2019,1653080181.9999998
FBNC,2020,1401245366.0
FBNC,2021,1628965972.44
FBNC,2022,1529565957.36
FBNC,2023,1521480618.87
FCAP,2016,110558782.5
FCAP,2017,123309112.5
FCAP,2018,133274502.0
FCAP,2019,244940550.0
FCAP,2020,203199996.0
FCAP,2021,134046232.5
FCAP,2022,83548215.0
FCAP,2023,91439511.4
FCBC,2016,516482386.4641
FCBC,2017,492320468.8738
FCBC,2018,548385649.1372
FCBC,2019,540372384.1628001
FCBC,2020,375926380.3183
FCBC,2021,537563323.6019399
FCBC,2022,524193494.95642895
FCBC,2023,654181758.906412
FCCO,2016,138652880.0
FCCO,2017,173604160.0
FCCO,2018,149253488.0
FCCO,2019,165999376.0
FCCO,2020,130510384.0
FCCO,2021,156709724.88000005
FCCO,2022,165880493.68
FCCO,2023,163760883.16
FCF,2016,1488035020.0
FCF,2017,1502726480.0
FCF,2018,1267663120.0
FCF,2019,1522664890.0
FCF,2020,1148032660.0
FCF,2021,1516211415.68
FCF,2022,1304467106.5800002
FCF,2023,1576650412.1599998
FCNCA,2016,4360713500.0
FCNCA,2017,4950331100.0
FCNCA,2018,4631569085.0
FCNCA,2019,6537507977.0
FCNCA,2020,7054160399.0
FCNCA,2021,8146045525.200001
FCNCA,2022,11000923348.72
FCNCA,2023,20603611838.46
FDBC,2016,
FDBC,2017,253539300.0
FDBC,2018,370158150.00000006
FDBC,2019,358796175.0
FDBC,2020,371196300.0
FDBC,2021,340282500.0
FDBC,2022,271879950.0
FDBC,2023,334688025.0
FFBC,2016,2723694890.0
FFBC,2017,2522648870.0
FFBC,2018,2270862664.0
FFBC,2019,2435528928.0
FFBC,2020,1678255586.0
FFBC,2021,2295358471.2
FFBC,2022,2299211328.77
FFBC,2023,2259604545.0
FFIC,2016,992706030.0
FFIC,2017,928867500.0
FFIC,2018,727218810.0
FFIC,2019,729752085.0
FFIC,2020,562049280.0
FFIC,2021,741790377.9
FFIC,2022,571252457.5799999
FFIC,2023,475708548.8
FFIN,2016,3232930000.0
FFIN,2017,3222201250.0
FFIN,2018,4126277250.0
FFIN,2019,5021055000.0
FFIN,2020,5174833750.0
FFIN,2021,7198700933.96
FFIN,2022,4875465938.4
FFIN,2023,4296139646.1
FFWM,2016,1174001868.0
FFWM,2017,1527438219.84
FFWM,2018,1059485194.56
FFWM,2019,1433518070.4
FFWM,2020,1647721920.0
FFWM,2021,2048118346.56
FFWM,2022,1180592755.68
FFWM,2023,797497409.28
FGBI,2016,231913805.158
FGBI,2017,266289307.4324
FGBI,2018,247222994.6648
FGBI,2019,255073177.3324
FGBI,2020,208206263.5548
FGBI,2021,218408302.48
FGBI,2022,251308866.2
FGBI,2023,138726714.88
FHB,2016,4377535580.0
FHB,2017,3668480420.0
FHB,2018,2829934690.0
FHB,2019,3626993150.0
FHB,2020,2964454020.0
FHB,2021,3435900270.0
FHB,2022,3273722760.0
FHB,2023,2873936340.0
FHN,2016,10149732169.92
FHN,2017,10139587510.08
FHN,2018,6675186174.72
FHN,2019,8399778347.519999
FHN,2020,6472292977.92
FHN,2021,8713308588.779999
FHN,2022,13158965067.5
FHN,2023,7913155907.04
FISI,2016,687751740.0
FISI,2017,625411670.0
FISI,2018,516819290.0
FISI,2019,645521370.0
FISI,2020,452468250.0
FISI,2021,500705405.4
FISI,2022,373682424.36
FISI,2023,328177747.8
FITB,2016,18002258376.96
FITB,2017,20251706309.12
FITB,2018,15706086007.04
FITB,2019,20518703096.32
FITB,2020,18402753557.76
FITB,2021,29734967267.2
FITB,2022,22421890722.800003
FITB,2023,23491994696.9
FLG,2016,19811768400.0
FLG,2017,16213024800.0
FLG,2018,11717708400.0
FLG,2019,14967784800.0
FLG,2020,13137282000.0
FLG,2021,5677840988.820001
FLG,2022,5858469055.2
FLG,2023,7386738934.41
FLIC,2016,647499725.0
FLIC,2017,646365750.0
FLIC,2018,452456025.0
FLIC,2019,568801860.0
FLIC,2020,404829075.00000006
FLIC,2021,501764467.64
FLIC,2022,403980840.0
FLIC,2023,299104072.08
FMAO,2016,
FMAO,2017,559488030.6279
FMAO,2018,527811140.6568
FMAO,2019,413445206.6184
FMAO,2020,315397665.8712
FMAO,2021,450195886.7736
FMAO,2022,372857958.0
FMAO,2023,340208880.0
FMBH,2016,809046345.058
FMBH,2017,917077831.922
FMBH,2018,765728880.0
FMBH,2019,845612250.0
FMBH,2020,807469739.9999999
FMBH,2021,773656165.37
FMBH,2022,656112222.0799999
FMBH,2023,825848568.42
FMNB,2016,534495100.0
FMNB,2017,555197375.0
FMNB,2018,479539970.0
FMNB,2019,614292960.0
FMNB,2020,499489435.0
FMNB,2021,628812277.8000001
FMNB,2022,480858365.0
FMNB,2023,541915069.85
FNB,2016,5767690436.4800005
FNB,2017,4972519141.12
FNB,2018,3540491197.44
FNB,2019,4569536403.2
FNB,2020,3418157152.0
FNB,2021,3868663257.96
FNB,2022,4704134935.5
FNB,2023,4941081072.09
FNLC,2016,369410461.5015
FNLC,2017,305038629.0
FNLC,2018,294620490.0
FNLC,2019,338645529.0
FNLC,2020,284538420.0
FNLC,2021,345361221.0
FNLC,2022,330692868.84000003
FNLC,2023,313187168.54
FNWB,2016,139212060.0
FNWB,2017,145458755.0
FNWB,2018,132340695.5
FNWB,2019,161789400.5
FNWB,2020,139212060.0
FNWB,2021,201747680.54
FNWB,2022,149047004.16
FNWB,2023,143930787.9
FRAF,2016,
FRAF,2017,
FRAF,2018,
FRAF,2019,172491627.0
FRAF,2020,120507849.0
FRAF,2021,147123900.0
FRAF,2022,160944630.0
FRAF,2023,140659365.0
FRBA,2016,290506920.0
FRBA,2017,346855245.0
FRBA,2018,303529644.0
FRBA,2019,276732885.0
FRBA,2020,234909906.00000003
FRBA,2021,282544001.64
FRBA,2022,267656148.8
FRBA,2023,367031393.4
