ticker,year,total_return,tier,data_source
PNFP,2016,0.36476170774275585,Tier 1,monthly_12m
PNFP,2017,-0.035028829458351174,Tier 1,monthly_12m
PNFP,2018,-0.2979490647084928,Tier 1,monthly_12m
PNFP,2019,0.4039304088783162,Tier 1,monthly_12m
PNFP,2020,0.02049764923243269,Tier 1,monthly_12m
PNFP,2021,0.49518649785451907,Tier 1,monthly_12m
PNFP,2022,-0.22326239612323573,Tier 1,monthly_12m
CFR,2016,0.5200851892315708,Tier 1,monthly_12m
CFR,2017,0.09924468138990616,Tier 1,monthly_12m
CFR,2018,-0.04844029994741417,Tier 1,monthly_12m
CFR,2019,0.14596820280389822,Tier 1,monthly_12m
CFR,2020,-0.07520668350063797,Tier 1,monthly_12m
CFR,2021,0.4819090482073731,Tier 1,monthly_12m
CFR,2022,0.08617335901330025,Tier 1,monthly_12m
COLB,2016,0.4460580045551923,Tier 1,monthly_12m
COLB,2017,-0.006398130632528365,Tier 1,monthly_12m
COLB,2018,-0.14054647302877477,Tier 1,monthly_12m
COLB,2019,0.16398944365901347,Tier 1,monthly_12m
COLB,2020,-0.07752052687759914,Tier 1,monthly_12m
COLB,2021,-0.06136443289595295,Tier 1,monthly_12m
COLB,2022,-0.042708162144548756,Tier 1,monthly_12m
COLB,2023,-0.059000511972175484,Tier 1,monthly_12m
UMBF,2016,0.6841178799443743,Tier 1,monthly_12m
UMBF,2017,-0.05369332752951139,Tier 1,monthly_12m
UMBF,2018,-0.1386199592339601,Tier 1,monthly_12m
UMBF,2019,0.14703232688238765,Tier 1,monthly_12m
UMBF,2020,0.027532603834389935,Tier 1,monthly_12m
UMBF,2021,0.5604885396198971,Tier 1,monthly_12m
UMBF,2022,-0.19960902813906578,Tier 1,monthly_12m
UMBF,2023,0.022355545278111455,Tier 1,monthly_12m
BOKF,2016,0.4290910423428036,Tier 1,monthly_12m
BOKF,2017,0.13580126965631623,Tier 1,monthly_12m
BOKF,2018,-0.18971183374129652,Tier 1,monthly_12m
BOKF,2019,0.22099560553968534,Tier 1,monthly_12m
BOKF,2020,-0.1903221738086367,Tier 1,monthly_12m
BOKF,2021,0.5759333761613223,Tier 1,monthly_12m
BOKF,2022,0.005947716280432225,Tier 1,monthly_12m
BOKF,2023,-0.15286151108721302,Tier 1,monthly_12m
FNB,2018,-0.2618231208933157,Tier 1,monthly_12m
FNB,2019,0.34564056655555775,Tier 1,monthly_12m
FNB,2020,-0.20837327136312167,Tier 1,monthly_12m
FNB,2021,0.3279383650172538,Tier 1,monthly_12m
FNB,2022,0.1172811110802201,Tier 1,monthly_12m
FNB,2023,0.09697539607749217,Tier 1,monthly_12m
CADE,2019,0.23027090659163507,Tier 1,monthly_12m
CADE,2020,-0.11402263217183384,Tier 1,monthly_12m
CADE,2021,0.15372625481480728,Tier 1,monthly_12m
CADE,2022,-0.14345120479647788,Tier 1,monthly_12m
SSB,2016,,Tier 3,excluded
SSB,2017,,Tier 3,excluded
SSB,2018,,Tier 3,excluded
SSB,2019,,Tier 3,excluded
SSB,2020,,Tier 3,excluded
SSB,2021,,Tier 3,excluded
SSB,2022,,Tier 3,excluded
SSB,2023,,Tier 3,excluded
ASB,2016,0.34799472870724735,Tier 1,monthly_12m
ASB,2017,0.04964417554435929,Tier 1,monthly_12m
ASB,2018,-0.20172174941816845,Tier 1,monthly_12m
ASB,2019,0.15103373342883364,Tier 1,monthly_12m
ASB,2020,-0.1881031124387017,Tier 1,monthly_12m
ASB,2021,0.37271841996016564,Tier 1,monthly_12m
ASB,2022,0.05982660944462048,Tier 1,monthly_12m
ASB,2023,-0.028579393022635347,Tier 1,monthly_12m
PB,2016,0.5351226223786134,Tier 1,monthly_12m
PB,2017,-0.0035561168591564662,Tier 1,monthly_12m
PB,2018,-0.09199925588234703,Tier 1,monthly_12m
PB,2019,0.18186787636609414,Tier 1,monthly_12m
PB,2020,-0.004125380273828805,Tier 1,monthly_12m
PB,2021,0.0635554107432239,Tier 1,monthly_12m
PB,2022,0.036209498156067665,Tier 1,monthly_12m
OZK,2019,0.38153043310988943,Tier 1,monthly_12m
OZK,2020,0.07337777343939633,Tier 1,monthly_12m
OZK,2021,0.5301848810668408,Tier 1,monthly_12m
OZK,2022,-0.11252527383803723,Tier 1,monthly_12m
OZK,2023,0.29070095230049375,Tier 1,monthly_12m
BKU,2016,0.07306255078705237,Tier 1,monthly_12m
BKU,2017,0.10647958133894986,Tier 1,monthly_12m
BKU,2018,-0.2485155448269908,Tier 1,monthly_12m
BKU,2019,0.2523852379983462,Tier 1,monthly_12m
