ticker,year,annual_return_from_monthly,months_used,annual_return_direct,tier,total_return,data_source
PNC,2022,-0.1856012309582179,12.0,0.3821723207,Tier 1,-0.1856012309582179,monthly_12m
TFC,2016,0.2847304678355891,12.0,-0.00102031212,Tier 1,0.2847304678355891,monthly_12m
TFC,2017,0.08674587712655057,12.0,0.2847304678,Tier 1,0.08674587712655057,monthly_12m
TFC,2018,-0.10219903573441114,12.0,0.08674587711,Tier 1,-0.10219903573441114,monthly_12m
TFC,2020,-0.11130659934552378,12.0,0.3451969364,Tier 1,-0.11130659934552378,monthly_12m
TFC,2021,0.26072422904775916,12.0,-0.1113065992,Tier 1,0.26072422904775916,monthly_12m
TFC,2022,-0.235137308944519,12.0,0.2607242291,Tier 1,-0.235137308944519,monthly_12m
TFC,2023,-0.08523436503616,12.0,-0.235137309,Tier 1,-0.08523436503616,monthly_12m
FCNCA,2016,0.38100583828361434,12.0,0.026294478,Tier 1,0.38100583828361434,monthly_12m
FCNCA,2017,0.13910714549501435,12.0,0.38100583829999995,Tier 1,0.13910714549501435,monthly_12m
FCNCA,2018,-0.061133022423267125,12.0,0.1391071455,Tier 1,-0.061133022423267125,monthly_12m
FCNCA,2019,0.41638563486375313,12.0,-0.06113302248,Tier 1,0.41638563486375313,monthly_12m
FCNCA,2020,0.08339330489341412,12.0,0.4163856348,Tier 1,0.08339330489341412,monthly_12m
FCNCA,2021,0.4482961984067284,12.0,0.08339330488,Tier 1,0.4482961984067284,monthly_12m
FCNCA,2022,-0.08358177866750383,12.0,0.4482961984,Tier 1,-0.08358177866750383,monthly_12m
CFG,2016,0.38801240492877564,12.0,0.07028215699000001,Tier 1,0.38801240492877564,monthly_12m
CFG,2017,0.1989837789478197,12.0,0.3880124049,Tier 1,0.1989837789478197,monthly_12m
CFG,2018,-0.27437960967874,12.0,0.198983779,Tier 1,-0.27437960967874,monthly_12m
CFG,2019,0.418239954829704,12.0,-0.27437960969999997,Tier 1,0.418239954829704,monthly_12m
CFG,2020,-0.06677397496538118,12.0,0.4182399549,Tier 1,-0.06677397496538118,monthly_12m
CFG,2021,0.3694510641240565,12.0,-0.06677397511,Tier 1,0.3694510641240565,monthly_12m
