Index,Date,Instrument,Total Return
349,1/31/20,ALRS.O,-7.658643326
350,2/29/20,ALRS.O,-3.033175358
351,3/31/20,ALRS.O,-18.50388818
352,4/30/20,ALRS.O,2.905569006
353,5/31/20,ALRS.O,6.647058823
354,6/30/20,ALRS.O,9.798759384
355,7/31/20,ALRS.O,-1.923076924
356,8/31/20,ALRS.O,6.243550053
357,9/30/20,ALRS.O,-4.163810196
358,10/31/20,ALRS.O,9.744897959
359,11/30/20,ALRS.O,11.71548117
360,12/31/20,ALRS.O,14.51629847
361,1/31/21,ALRS.O,-12.09353306
362,2/28/21,ALRS.O,14.33915212
363,3/31/21,ALRS.O,8.741370887
364,4/30/21,ALRS.O,-3.458697114
365,5/31/21,ALRS.O,14.60869565
366,6/30/21,ALRS.O,-11.51172663
367,7/31/21,ALRS.O,-3.653912443
368,8/31/21,ALRS.O,6.833631484
369,9/30/21,ALRS.O,0.642076821
370,10/31/21,ALRS.O,5.087014727
371,11/30/21,ALRS.O,-4.140127388
372,12/31/21,ALRS.O,-2.184768277
373,1/31/22,ALRS.O,-3.227459014
374,2/28/22,ALRS.O,1.464619729
375,3/31/22,ALRS.O,-3.334800451
376,4/30/22,ALRS.O,-7.561505064
377,5/31/22,ALRS.O,-0.587084149
378,6/30/22,ALRS.O,-5.526542722
379,7/31/22,ALRS.O,3.485930284
380,8/31/22,ALRS.O,-3.571428573
381,9/30/22,ALRS.O,-6.227926449
382,10/31/22,ALRS.O,0.904977376
383,11/30/22,ALRS.O,6.098654709
384,12/31/22,ALRS.O,-0.541882255
385,1/31/23,ALRS.O,-11.86295503
386,2/28/23,ALRS.O,-2.818270166
387,3/31/23,ALRS.O,-18.87081558
388,4/30/23,ALRS.O,-10.34267913
389,5/31/23,ALRS.O,15.84433634
390,6/30/23,ALRS.O,9.00650122
391,7/31/23,ALRS.O,10.01112347
392,8/31/23,ALRS.O,-1.415571284
393,9/30/23,ALRS.O,-5.835940665
394,10/31/23,ALRS.O,-4.785478547
395,11/30/23,ALRS.O,5.545927209
396,12/31/23,ALRS.O,23.57638361
397,1/31/13,AMTB.N,NaN
398,2/28/13,AMTB.N,NaN
399,3/31/13,AMTB.N,NaN
400,4/30/13,AMTB.N,NaN
401,5/31/13,AMTB.N,NaN
402,6/30/13,AMTB.N,NaN
403,7/31/13,AMTB.N,NaN
404,8/31/13,AMTB.N,NaN
405,9/30/13,AMTB.N,NaN
406,10/31/13,AMTB.N,NaN
407,11/30/13,AMTB.N,NaN
408,12/31/13,AMTB.N,NaN
409,1/31/14,AMTB.N,NaN
410,2/28/14,AMTB.N,NaN
411,3/31/14,AMTB.N,NaN
412,4/30/14,AMTB.N,NaN
413,5/31/14,AMTB.N,NaN
414,6/30/14,AMTB.N,NaN
415,7/31/14,AMTB.N,NaN
416,8/31/14,AMTB.N,NaN
417,9/30/14,AMTB.N,NaN
418,10/31/14,AMTB.N,NaN
419,11/30/14,AMTB.N,NaN
420,12/31/14,AMTB.N,NaN
421,1/31/15,AMTB.N,NaN
