instrument,year,rit_rf,rit,new_wacc,unnamed:_5,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,equity_vol_is_default,equity_vol,asset_value,asset_vol,solver_status,DDm,PDm
AMTB,2023,0.152715007,0.202215007,4.064090686,,8.983340129,1.754215972,1.454168362,42.5731461,37.10406492,65.5896251,44.94988446,44.94988446,22.70569188,37.63834853,43.71801632,35.3880167,35.3880167,9.181562945,0.082146062,1.121678508,12.12,20.76622,4.92675644,20.66101847,79.33898153,9716.327,798.158,0.260414466,0.0,0.0,0.0495,AMTB,,,AMTB,1030775382.0,0.4461010168982934,False,0.4461010168982934,1790353631.5517123,0.25690542510706954,converged,3.2088137762814415,0.0006664189415933922
AROW,2017,0.1158279,0.1238279,1.446312422,,5.013335612,0.619601145,0.553659664,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,21.15270351,31.4707733,7.282423208,18.23117591,18.23117591,7.923154423,0.088740846,1.896079487,15.0,30.08052,1.917215905,14.55477282,85.44522718,2760.465,244.966,0.170340384,0.0,0.0,0.008,AROW,,,AROW,468535590.2864,0.1748166030339055,False,0.1748166030339055,711549680.3438256,0.11511229713505004,converged,9.275293957148158,8.856496703639688e-21
AROW,2018,-0.15814885,-0.14004885,1.635243053,,6.05340398,0.622665674,0.561684289,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,22.15799615,30.5175293,8.289865019,18.12104594,18.12104594,8.00247132,0.118346544,1.719592234,14.9,29.7094,2.498989189,13.37919468,86.62080532,2988.334,353.659,0.154457057,0.0,0.0,0.0181,AROW,,,AROW,455157045.8032,0.1658637884030255,False,0.1658637884030255,802472401.0735997,0.09407684111530829,converged,8.85487921666874,4.1887238748268594e-19
AROW,2019,0.066134827,0.087534827,1.285904064,,4.732924173,0.594509045,0.522352876,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,21.58687943,22.91036508,11.20253165,15.39645247,15.39645247,8.065979913,0.074225059,1.878980283,14.8,29.7094,1.725332219,16.42447009,83.57552991,3184.275,236.353,0.196522476,0.0,0.0,0.021400000000000002,AROW,,,AROW,553437861.392,0.2072943232518679,False,0.2072943232518679,784786643.301751,0.14618807954550753,converged,8.282480795513804,6.03177087640496e-17
AROW,2020,-0.179781542,-0.175381542,0.698529107,,3.987268628,0.633919553,0.536885399,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,8.213012021,0.02377654,1.38783661,15.5,29.17827,1.183610401,20.3312656,79.6687344,3688.636,87.703,0.255197547,0.0,0.0,0.0044,AROW,,,AROW,451056148.114,0.2660258840762802,False,0.2660258840762802,538374102.6352599,0.22287963304183817,converged,8.049905145449225,4.142911409350604e-16
AROW,2021,0.230513245,0.230913245,1.895743907,,1.543761519,0.662189186,0.637723954,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,8.301013337,0.017420515,1.522470067,15.7,21.27914,2.128484023,4.646882214,95.35311779,4027.952,70.169,0.048733406,0.0,0.0,0.0004,AROW,,,AROW,565115143.0334799,0.1453358316772399,False,0.1453358316772399,635256081.0462515,0.129288773105147,converged,16.97876567803378,5.897023684009603e-65
AROW,2022,0.059101412,0.073301412,3.464948814,,6.812876327,0.670815154,0.644057921,15.8938172,25.42706308,46.86126629,29.48187915,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,8.286397688,0.020133221,1.587107485,15.1,21.27914,4.313115919,5.012922273,94.98707773,3969.509,79.919,0.052774782,0.0,0.0,0.014199999999999999,AROW,,,AROW,561100620.940994,0.2802803159657703,False,0.2802803159657703,639892790.5710632,0.24576855667847444,converged,8.399308528364848,2.2455768865880493e-17
ASB,2016,0.316896117,0.318896117,1.727344495,,6.444819083,1.211613167,0.869455671,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,18.2821119,46.74700286,54.13398693,42.67474871,42.67474871,10.27984357,0.13225534,1.281778915,12.68,29.66529,2.174938562,34.67078609,61.96618728,29139.315,3853.83,0.559511366,0.0,0.0,0.002,ASB,,,ASB,4095507000.0,0.1999387415447333,False,0.1999387415447333,7941637042.532944,0.10310852928330431,converged,6.9803758451660745,1.4719571148585355e-12
ASB,2017,0.186351273,0.194351273,1.828800619,,7.019117242,1.182026603,0.986122367,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,10.32494392,0.133636867,1.261481048,13.22,30.20409,2.410563459,21.42974031,75.28940467,30483.594,4073.732,0.284631555,0.0,0.0,0.008,ASB,,,ASB,4211574000.0,0.1949956441283363,False,0.1949956441283363,8252846156.538861,0.09950974121417674,converged,7.125407964554195,5.18864271974247e-13
ASB,2018,-0.29805053,-0.27995053,2.114752569,,8.075832362,1.066817217,0.922192982,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,10.4227313,0.134673199,0.923416031,13.47,30.20409,3.342762277,17.52583241,77.9990597,33615.122,4527.056,0.224692868,0.0,0.0,0.0181,ASB,,,ASB,3281379900.0,0.2131636695631994,False,0.2131636695631994,7727233286.893122,0.09052023602923788,converged,6.061430112563563,6.745825469563165e-10
