instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,rf,F,ticker_prefix,date,Month,symbol,market_cap,equity_volatility,solver_status,equity_vol,sigma_E_method,sigma_E_window_months,sigmaE_window_end_year,sigmaE_window_start_year,E_t,F_t,rf_t,T,sigma_E_tminus1,asset_value,asset_vol,solver_cost,nfev,status_flag,d1,d2,DD_m,PD_m
AROW,2020,1,-0.179781542,-0.175381542,0.698529107,3.987268628,0.633919553,0.536885399,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,20.28455285,22.51587105,52.38352966,30.02594272,30.02594272,8.213012021,0.02377654,1.38783661,15.5,29.17827,1.183610401,20.3312656,79.6687344,3688.636,87.703,0.255197547,0,0,0.0044,87703000.0,AROW,,,AROW,451056148.114,0.1956713657963584,converged,0.1956713657963584,monthly36,36,2019,2017,451056148.114,87703000.0,0.0044,1.0,0.1956713657963584,538374102.6507398,0.16393577329525777,0.0,7,converged,11.177761890097957,11.013826116802699,11.013826116802699,1.6389068136234807e-28
AROW,2021,1,0.230513245,0.230913245,1.895743907,1.543761519,0.662189186,0.637723954,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,18.99807322,18.95256987,48.17980469,26.74520435,26.74520435,8.301013337,0.017420515,1.522470067,15.7,21.27914,2.128484023,4.646882214,95.35311779,4027.952,70.169,0.048733406,0,0,0.0004,70169000.0,AROW,,,AROW,565115143.0334799,0.2140732560355588,converged,0.2140732560355588,monthly36,36,2020,2018,565115143.0334799,70169000.0,0.0004,1.0,0.2140732560355588,635256081.0468935,0.19043664821557932,0.0,5,converged,11.666108682799937,11.475672034584358,11.475672034584358,8.740708107238725e-31
AROW,2022,1,0.059101412,0.073301412,3.464948814,6.812876327,0.670815154,0.644057921,15.8938172,25.42706308,46.86126629,29.48187915,29.48187915,17.43215031,17.67301815,44.26701319,24.70194175,24.70194175,8.286397688,0.020133221,1.587107485,15.1,21.27914,4.313115919,5.012922273,94.98707773,3969.509,79.919,0.052774782,0,0,0.014199999999999999,79919000.0,AROW,,,AROW,561100620.940994,0.2097232254602229,converged,0.2097232254602229,monthly36,36,2021,2019,561100620.940994,79919000.0,0.014199999999999999,1.0,0.2097232254602229,639892790.5727261,0.18389929386636644,0.0,6,converged,11.481264862922723,11.297365569056357,11.297365569056357,6.760676941759489e-30
ASB,2016,0,0.316896117,0.318896117,1.727344495,6.444819083,1.211613167,0.869455671,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,18.2821119,46.74700286,54.13398693,42.67474871,42.67474871,10.27984357,0.13225534,1.281778915,12.68,29.66529,2.174938562,34.67078609,61.96618728,29139.315,3853.83,0.559511366,0,0,0.002,3853830000.0,ASB,,,ASB,4095507000.0,0.1898293715629111,converged,0.1898293715629111,monthly36,36,2015,2013,4095507000.0,3853830000.0,0.002,1.0,0.1898293715629111,7941637043.420383,0.09789512653509237,0.0,9,converged,7.4553629530785575,7.357467826543465,7.357467826543465,9.37157808229721e-14
ASB,2017,0,0.186351273,0.194351273,1.828800619,7.019117242,1.182026603,0.986122367,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,21.15270351,51.36160457,54.43117179,45.07057771,45.07057771,10.32494392,0.133636867,1.261481048,13.22,30.20409,2.410563459,21.42974031,75.28940467,30483.594,4073.732,0.284631555,0,0,0.008,4073732000.0,ASB,,,ASB,4211574000.0,0.1992386805907359,converged,0.1992386805907359,monthly36,36,2016,2014,4211574000.0,4073732000.0,0.008,1.0,0.1992386805907359,8252846157.578237,0.10167504403595534,0.0,9,converged,7.073195897097001,6.971520853061046,6.971520853061046,1.5676641679447483e-12
ASB,2018,0,-0.29805053,-0.27995053,2.114752569,8.075832362,1.066817217,0.922192982,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,22.15799615,55.95320385,58.34019675,48.75525994,48.75525994,10.4227313,0.134673199,0.923416031,13.47,30.20409,3.342762277,17.52583241,77.9990597,33615.122,4527.056,0.224692868,0,0,0.0181,4527056000.0,ASB,,,ASB,3281379900.0,0.2081515816519564,converged,0.2081515816519564,monthly36,36,2017,2015,3281379900.0,4527056000.0,0.0181,1.0,0.2081515816519564,7727233286.91931,0.08839184620520446,0.0,6,converged,6.297929324591617,6.209537478386412,6.209537478386412,2.6570387550888163e-10
ASB,2019,0,0.025128639,0.046528639,1.602613937,7.344833488,1.212277798,1.016668937,51.40386566,65.72278597,46.00551841,51.79833238,51.79833238,49.46342334,54.75894649,35.5374195,42.02091281,42.02091281,10.38549627,0.129542428,0.945066493,13.21,30.20409,2.246902417,20.36161662,73.86407441,32386.478,4195.423,0.275663329,0,0,0.021400000000000002,4195423000.0,ASB,,,ASB,3654452400.0,0.2089709386065134,converged,0.2089709386065134,monthly36,36,2018,2016,3654452400.0,4195423000.0,0.021400000000000002,1.0,0.2089709386065134,7761047199.49564,0.09839836410190421,0.0,6,converged,6.518037461288139,6.419639097186234,6.419639097186234,6.829889715415523e-11
ASB,2020,1,-0.240059316,-0.235659316,1.458704485,5.277634893,1.219278569,0.736506911,49.67131823,62.29109343,46.61129568,50.34298772,50.34298772,51.40386566,65.72278597,46.00551841,51.79833238,51.79833238,10.41690331,0.072846224,0.700445794,14.02,28.48654,2.196761976,43.66962993,47.64335788,33419.783,2434.505,0.916594293,0,0,0.0044,2434505000.0,ASB,,,ASB,2827060500.0,0.2237289104844829,converged,0.2237289104844829,monthly36,36,2019,2017,2827060500.0,2434505000.0,0.0044,1.0,0.2237289104844829,5250877209.727536,0.12045514519897639,0.0,8,converged,6.477983314687557,6.357528169488581,6.357528169488581,1.0251304111223715e-10
ASB,2021,1,0.244409493,0.244809493,1.366752365,1.922769597,1.134023776,0.998924739,51.67527036,72.07186715,43.24541309,54.76490108,54.76490108,49.67131823,62.29109343,46.61129568,50.34298772,50.34298772,10.46607757,0.063372179,0.880469596,13.1,22.48194681,1.50709914,14.14496048,81.07465475,35104.253,2224.633,0.174468341,0,0,0.0004,2224633000.0,ASB,,,ASB,3373650260.19,0.3100499803819582,converged,0.3100499803819582,monthly36,36,2020,2018,3373650260.19,2224633000.0,0.0004,1.0,0.3100499803819582,5597393536.553485,0.18687277267074082,0.0,6,converged,5.033209463510087,4.846336690839346,4.846336690839346,6.288100897976139e-07
ASB,2022,1,0.049694395,0.063894395,3.81532284,7.862610266,1.016004267,0.889902202,50.5324411,72.6085666,66.2694704,63.4980147,63.4980147,51.67527036,72.07186715,43.24541309,54.76490108,54.76490108,10.58166644,0.131297387,0.909031349,11.33,19.88698746,4.698168963,14.25072667,80.56755007,39405.727,5173.869,0.176879236,0,0,0.014199999999999999,5173869000.0,ASB,,,ASB,3473752398.71,0.3097415187606213,converged,0.3097415187606213,monthly36,36,2021,2019,3473752398.71,5173869000.0,0.014199999999999999,1.0,0.3097415187606213,8574668462.1147375,0.12548352215134187,0.0,8,converged,4.20186342062549,4.076379898474149,4.076379898474149,2.2871132175042943e-05
