instrument,year,E,E_source,weak_E_proxy,E_pb,E_de,E_wacc,F,sigma_E,sigma_D_hat,sigma_V_hat,mu_hat,DD_a,PD_a,naive_status
BANR,2019,14853846164.279615,E_pb,False,14853846164.279615,5655640766.481755,11237453206.58809,687778000.0,0.1890841941913391,0.09727104854783478,0.18502110136288596,-0.234949506,15.488747451009184,2.0663176053081018e-54,ok
BANR,2020,14236601228.601444,E_pb,False,14236601228.601444,1620535032.3881145,11222910580.71537,549960000.0,0.204852805295796,0.10121320132394901,0.20099811347670643,0.078729093,16.66760641722049,1.1272156103391986e-62,ok
BANR,2021,20004985028.986023,E_pb,False,20004985028.986023,2140895709.9068534,13455738354.82338,532869000.0,0.327314554325006,0.1318286385812515,0.3222425353940388,-0.191629824,10.576503908922197,1.9149153846348715e-26,ok
BANR,2022,22816223281.36121,E_pb,False,22816223281.36121,2267935970.0020103,13179920749.882473,456603000.0,0.34104603484179,0.1352615087104475,0.3370086295499196,0.246029636,12.226599757586532,1.120627559691031e-34,ok
BANR,2023,16703145400.470749,E_pb,False,16703145400.470749,2786256103.03172,12650448868.532854,665141000.0,0.3591910302672025,0.13979775756680063,0.3507890810229027,0.047381615,9.259858571241095,1.0235158665530471e-20,ok
BCBP,2018,2204845657.1336966,E_pb,False,2204845657.1336966,1690214709.888155,2291842582.7828417,282377000.0,0.178219778735224,0.094554944683806,0.16872122227218378,0.044898351,13.076860198844733,2.232528520545823e-39,ok
BCBP,2019,2956550619.6630816,E_pb,False,2956550619.6630816,1625267724.0531998,2476790749.3106375,282610000.0,0.1750254629823701,0.09375636574559253,0.16793490395585456,-0.168478601,13.436289489280426,1.8527833158569104e-41,ok
BCML,2019,2210689936.6916,E_pb,False,2210689936.6916,274406131.4621779,1936026935.4805422,8242000.000000001,0.2355834589517707,0.10889586473794269,0.2351128905966786,0.044898351,23.872776680488368,2.937515552031634e-126,imputed_sigmaE_sizebucket
BCML,2020,1437455558.145384,E_pb,False,1437455558.145384,130475808.88864245,1382833236.6132197,76694000.0,0.1602079856809218,0.09005199642023046,0.15665447710482722,-0.031549599,18.760816012614992,7.897793220709282e-79,ok
BCML,2021,1738643524.914912,E_pb,False,1738643524.914912,199072026.350988,1726673859.9955297,71945000.0,0.4525928126245674,0.16314820315614187,0.44109152884768915,-0.302033732,6.4072658390274,7.407618625499177e-11,ok
