instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m
RRBI,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRBI,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRBI,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MVBF,2018,0.0,-0.293510892,-0.275410892,1.972951342,5.878154697,0.577315131,0.51722471,21.58687943,0.90082361,16.83433267,6.507168271,6.507168271,22.15799615,1.254996746,18.53008465,7.29330886,7.29330886,7.467924628,0.141256641,1.2394744,13.8,29.88994252,3.140459385,13.76800241,83.08550758,1750.969,247.336,0.165708832,0.0,0.0,9.38622701391152,3.109403923673376e-21,5.527239189648079,1.6265465575397796e-08
MVBF,2019,0.0,-0.021296212,0.000103788,1.319724801,3.076124999,0.195282395,0.18741202,20.28455285,27.72293561,28.11100499,23.87053786,23.87053786,21.58687943,0.90082361,16.83433267,6.507168271,6.507168271,7.572561625,0.121999533,1.454783833,12.8,28.12200045,1.835929754,5.360283286,91.7457004,1944.114,237.181,0.058425444,0.0,0.0,9.15065699249265,2.829416810442555e-20,6.043363001359357,7.546727110481779e-10
MVBF,2020,1.0,-0.14517995,-0.14077995,0.728392423,6.605340353,1.022915019,0.972339169,20.85479836,25.13101477,41.1205074,27.53573441,27.53573441,20.28455285,27.72293561,28.11100499,23.87053786,23.87053786,7.754256822,0.023096528,1.126072566,15.8,30.41416,1.228503524,6.715191057,89.83670902,2331.476,53.849,0.074748854,0.0,0.0,17.274666875502728,3.6496831453237695e-67,9.696904024757492,1.5539297677848782e-22
MVBF,2021,1.0,0.120734343,0.121134343,1.619348313,1.584085975,0.888749385,0.789108807,19.0205481,24.71642175,71.44190971,38.20716197,38.20716197,20.85479836,25.13101477,41.1205074,27.53573441,27.53573441,7.934674268,0.030265548,1.829380027,16.7,24.1332,1.997577799,14.26877273,85.73122727,2792.449,84.515,0.166436119,0.0,0.0,11.15250297970473,3.480999284370273e-29,6.416853284247369,6.955993863104214e-11
GNTY,2018,0.0,-0.145921346,-0.127821346,2.182336954,3.907075457,0.200905343,0.191803669,21.58687943,33.46287022,31.91983122,28.08872287,28.08872287,22.15799615,28.13303548,32.17227179,25.53600345,25.53600345,7.726199417,0.061833196,1.442320406,13.25,28.26105,3.20917422,6.204293087,93.79570691,2266.97,140.174,0.066146877,0.0,0.0,,,,
GNTY,2019,0.0,-0.010245347,0.011154653,1.379811317,3.555723028,0.30423664,0.290935527,22.06022092,37.36204606,24.44550568,27.58765309,27.58765309,21.58687943,33.46287022,31.91983122,28.08872287,28.08872287,7.74865155,0.033224007,1.451649367,13.29,28.85302,1.92464975,6.037920443,93.96207956,2318.444,77.028,0.064259119,0.0,0.0,,,,
GNTY,2020,1.0,-0.061506539,-0.057106539,1.170657524,3.498466218,0.48474632,0.430538833,20.85479836,41.97970055,28.75364945,31.4406137,31.4406137,22.06022092,37.36204606,24.44550568,27.58765309,27.58765309,7.916016803,0.057114774,1.201263335,13.2,28.00546,1.693550201,14.8851357,85.1148643,2740.832,156.542,0.174882916,0.0,0.0,,,,
