instrument,year,total_months,valid_months,has_annual_backup,annual_return
SSB,2022,0,0,False,
SSB,2023,1,1,False,
STEL,2013,0,0,False,
STEL,2014,0,0,False,
STEL,2015,0,0,False,
STEL,2016,0,0,False,
STEL,2017,2,2,False,
TFIN,2013,0,0,False,
TFIN,2014,2,2,False,
VABK,2013,0,0,False,
VABK,2014,0,0,False,
VABK,2015,0,0,False,
VABK,2016,0,0,False,
VABK,2017,0,0,False,
VABK,2018,0,0,False,
VABK,2019,0,0,False,
VABK,2020,0,0,False,
VBTX,2013,0,0,False,
VBTX,2014,3,3,False,
