ticker,year,sigma_E_daily,method,days_used,flag,size_bucket,sigma_E_annual,delta,delta_pct,higher_daily
BOKF,2020,0.2411737312528518,daily_252,252,,small,0.2418517661296125,-0.0006780348767607136,-0.2803514266657631,False
BOKF,2021,0.7094339485371219,daily_252,253,,small,0.4280018949587788,0.28143205357834317,65.75486157729468,True
BOKF,2022,0.2980978960979943,daily_252,252,,small,0.4279159417826948,-0.1298180456847005,-30.337277256808765,False
BOKF,2023,0.2858073654196821,daily_252,251,,small,0.4395263689567626,-0.1537190035370805,-34.97378414449629,False
BRBS,2022,0.2674832687971854,daily_252,252,,small,0.2670667499927753,0.00041651880441012645,0.1559605620772313,True
BRBS,2023,0.2257547494926218,daily_252,251,,small,0.2677151272459835,-0.0419603777533617,-15.673517662230358,False
BSRR,2018,0.2698345399462969,daily_252,251,,small,0.2406922692719549,0.029142270674342025,12.107688694153518,True
BSRR,2019,0.2249737913935758,daily_252,251,,small,0.252295187694427,-0.027321396300851203,-10.829138895008226,False
BUSE,2017,0.2102457315220364,daily_252,252,,small,0.203411442875767,0.006834288646269393,3.3598348989852136,True
BUSE,2018,0.2111818769506974,daily_252,251,,small,0.1986449052488039,0.012536971701893496,6.311247543042126,True
BUSE,2019,0.2086529300661151,daily_252,251,,small,0.2215013846578261,-0.012848454591710995,-5.8006204392623575,False
BUSE,2020,0.2069784659530688,daily_252,252,,small,0.1969391967700304,0.01003926918303838,5.09764909560458,True
BUSE,2021,0.6275256246223233,daily_252,253,,small,0.2892357060771348,0.33828991854518853,116.95994354686339,True
BUSE,2022,0.289652061246395,daily_252,252,,small,0.2878733160344822,0.0017787452119127911,0.6178916602675771,True
BUSE,2023,0.2549192813622827,daily_252,251,,small,0.3081476856233789,-0.05322840426109621,-17.273666733344374,False
BWB,2020,0.2107401284892945,daily_252,252,,small,0.2163416848642418,-0.005601556374947303,-2.589217320028906,False
BWB,2021,0.5479326819814312,daily_252,253,,small,0.2692419225449899,0.2786907594364413,103.50942260482205,True
BWB,2022,0.3207211670057338,daily_252,252,,small,0.2513469002427236,0.06937426676301017,27.601003511885775,True
BWB,2023,0.2431945832493158,daily_252,251,,small,0.2614035292929076,-0.0182089460435918,-6.965837872520968,False
BWFG,2018,0.28162481014555,daily_252,251,,small,0.2039919382439102,0.07763287190163981,38.05683330917485,True
BWFG,2019,0.1881403732975522,daily_252,251,,small,0.2049222344722003,-0.016781861174648083,-8.189380336336665,False
BWFG,2020,0.2086680946614298,daily_252,252,,small,0.1790880506905272,0.02958004397090261,16.517039443362055,True
BWFG,2021,0.5733640382870648,daily_252,253,,small,0.4071925963037257,0.16617144198333916,40.80905288842521,True
BWFG,2022,0.2500648681406323,daily_252,252,,small,0.4396135723897137,-0.18954870424908143,-43.11711834070675,False
BWFG,2023,0.2226036222412751,daily_252,251,,small,0.4482711146545922,-0.22566749241331707,-50.341742984533234,False
BY,2018,0.245226588249759,daily_partial,126,insufficient_days,small,0.2206680248697309,0.024558563380028098,11.129189829168043,True
BY,2019,0.249978477896611,daily_252,251,,small,0.2624724861491481,-0.012494008252537075,-4.760121121966836,False
BY,2020,0.2185387329012893,daily_252,252,,small,0.2421336730097012,-0.0235949401084119,-9.744592652120119,False
BY,2021,0.6798630343168309,daily_252,253,,small,0.4135613472107552,0.2663016871060757,64.39230573701695,True
CAC,2017,0.2013765961628952,daily_252,252,,small,0.2640841848051946,-0.06270758864229939,-23.74530254000501,False
CAC,2018,0.2431109948644916,daily_252,251,,small,0.2149260619120932,0.028184932952398378,13.113780944781968,True
CAC,2019,0.2270437028320144,daily_252,251,,small,0.2198466028749471,0.007197099957067299,3.2736916845429476,True
CAC,2020,0.2135712959799117,daily_252,252,,small,0.2100959615721783,0.003475334407733399,1.6541652594019285,True
CAC,2021,0.5946799432129005,daily_252,253,,small,0.265658678009665,0.32902126520323555,123.8511264409986,True
CAC,2022,0.2718573470464041,daily_252,252,,small,0.2730765429269994,-0.0012191958805953251,-0.4464667186449803,False
CADE,2019,0.2433195150745384,daily_252,251,,small,0.2538879968922853,-0.010568481817746916,-4.1626551657070685,False
CADE,2020,0.2215270967563352,daily_252,252,,small,0.2469761226005174,-0.02544902584418221,-10.304245437258677,False
CADE,2021,0.6467061322800877,daily_252,253,,small,0.3400014033700224,0.3067047289100653,90.20690087454715,True
CADE,2022,0.323202039709812,daily_252,252,,small,0.3346572139399121,-0.011455174230100118,-3.422957507844699,False
CATY,2016,0.256067809467186,daily_252,252,,small,0.2195007461823595,0.03656706328482648,16.659197711540738,True
CATY,2017,0.2663530747159154,daily_252,252,,small,0.2362376570266058,0.030115417689309615,12.747932767517215,True
CATY,2018,0.2358679709196647,daily_252,251,,small,0.2357255813752334,0.00014238954443129836,0.06040479085918105,True
CATY,2019,0.2298332341167659,daily_252,251,,small,0.2393784531972708,-0.009545219080504902,-3.9875013615526735,False
CATY,2020,0.2249690734296108,daily_252,252,,small,0.2332522404871138,-0.008283167057502983,-3.551162912821235,False
CATY,2021,0.6418586980783755,daily_252,253,,small,0.3474784431034434,0.2943802549749321,84.71899791702931,True
CATY,2022,0.3163501545357775,daily_252,252,,small,0.3371521499060915,-0.02080199537031402,-6.169913309497831,False
CATY,2023,0.2939855581934529,daily_252,251,,small,0.3471224583297205,-0.053136900136267595,-15.307825483822358,False
CBAN,2018,0.3559344956905157,daily_252,251,,small,0.157225796085575,0.19870869960494073,126.38428588193466,True
CBAN,2019,0.3850531011446373,daily_252,251,,small,0.2033569086584328,0.1816961924862045,89.34842375647507,True
CBAN,2020,0.2678918883197427,daily_252,252,,small,0.1694300736728535,0.09846181464688919,58.11354059669808,True
CBAN,2021,0.660306300797764,daily_252,253,,small,0.2421281935989411,0.41817810719882287,172.7093821595552,True
CBAN,2022,0.2660583304821097,daily_252,252,,small,0.2317374547174762,0.034320875764633496,14.810241100850941,True
CBFV,2018,0.2744108009275041,daily_252,251,,small,0.1564178421220595,0.11799295880544458,75.43446272156706,True
CBFV,2019,0.2480525168958115,daily_252,251,,small,0.1893369905170513,0.05871552637876021,31.011122664629237,True
CBFV,2020,0.2174663299739361,daily_252,252,,small,0.1837358042531628,0.03373052572077331,18.3581669658121,True
CBFV,2021,0.4835705343718557,daily_252,253,,small,0.3533614493412277,0.130209085030628,36.848695655221306,True
CBFV,2022,0.2440364547727429,daily_252,252,,small,0.3585403206094141,-0.11450386583667119,-31.936119664881197,False
CBFV,2023,0.2630776161032252,daily_252,251,,small,0.3474668057019685,-0.08438918959874325,-24.286978846297654,False
CBNK,2020,0.296750230301487,daily_252,252,,small,0.2057806984523731,0.09096953184911391,44.20702842067977,True
CBNK,2021,0.968112991167838,daily_252,253,,small,0.2723840302142151,0.6957289609536229,255.4220819797953,True
CBNK,2022,0.3499412664621776,daily_252,252,,small,0.2621385461285489,0.08780272033362868,33.49477657153538,True
CBSH,2016,0.1986820934272367,daily_252,252,,small,0.1490359497300207,0.04964614369721598,33.3115223455483,True
CBSH,2017,0.2173317241956719,daily_252,252,,small,0.1624960823882393,0.05483564180743261,33.74582390018367,True
CBSH,2018,0.1898133824391494,daily_252,251,,small,0.1633447997124858,0.02646858272666358,16.204117163970153,True
CBSH,2019,0.1935310675050646,daily_252,251,,small,0.1697175775722637,0.023813489932800913,14.031245480546303,True
CBSH,2020,0.185593084507679,daily_252,252,,small,0.1686978535912464,0.016895230916432608,10.015083509817275,True
CBSH,2021,0.4930864963078544,daily_252,253,,small,0.2467442695826745,0.24634222672517989,99.83706091404895,True
CBSH,2022,0.2412648424133256,daily_252,252,,small,0.2358057396412192,0.0054591027721064,2.315084772920489,True
