instrument,year,covid,rit_rf,rit,new_wacc,"weighted_average_cost_of_capital,_(%)",beta_levered,beta_unlevered,environmental_pillar_score,social_pillar_score,governance_pillar_score,esg_score,esg_combined_score,environmental_pillar_score_1,social_pillar_score_1,governance_pillar_score_1,esg_score_1,esg_combined_score_1,lnta,td/ta,price_to_book_value_per_share,capital_adequacy_total_(%),"wacc_tax_rate,_(%)","wacc_cost_of_debt,_(%)","wacc_debt_weight,_(%)","wacc_equity_weight,_(%)",total_assets,debt_total,d/e,dummylarge,dummymid,DD_a,PD_a,DD_m,PD_m,status,size_dummy,covid_dummy,DD_a_wins,DD_m_wins,DD_a_wins_5_95,DD_m_wins_5_95
MYFW,2022,1.0,0.121374941,0.135574941,3.508852975,7.304072253,0.832744681,0.753470902,15.8938172,27.46390159,58.11452514,34.54332424,34.54332424,17.43215031,30.21931757,59.13273655,36.27656667,36.27656667,7.960933565,0.069422914,1.109740916,12.37,24.45015,4.486905592,12.22380023,87.77619977,2866.748,199.018,0.139260987,0.0,0.0,,,3.4057035628738612,0.0003299689696403,extreme_DD_a_y2022_small,0,1,,3.4057035628738612,,3.925401281033244
MFIN,2020,1.0,0.024616415,0.029016415,3.197330608,7.442033386,3.017242619,0.824395991,18.99807322,8.298526944,23.927313,12.72990204,12.72990204,20.28455285,10.5113748,21.44646079,12.93436778,12.93436778,7.403920563,0.146767161,0.52677685,18.8,21.00652,4.039177136,77.10253038,22.89746962,1642.411,241.052,3.3672948,0.0,0.0,,,2.8672114514612614,0.0131429193948113,extreme_DD_a_y2020_small,0,1,,2.868739231120174,,3.925401281033244
MFIN,2021,1.0,0.438270906,0.438670906,3.414167275,2.863816456,2.712682451,1.433065298,17.43215031,7.21260691,25.80710367,12.86801035,12.86801035,18.99807322,8.298526944,23.927313,12.72990204,12.72990204,7.535327134,0.117440633,0.508659555,19.0,20.93924,4.057843356,53.03871885,46.96128115,1873.057,219.973,1.129413797,0.0,0.0,,,5.627698125518954,9.131516953987548e-09,extreme_DD_a_y2021_small,0,1,,5.627698125518954,,5.627698125518954
MFIN,2023,1.0,0.184551293,0.234051293,3.436768188,7.369601827,2.153945215,1.045176669,15.2370401,5.8699101,18.5642053,9.78708375,9.78708375,15.8938172,7.791638242,23.70204842,12.39739,12.39739,7.858573806,0.094111392,0.673435689,18.1,26.47458,4.543947466,59.06378982,40.93621018,2587.827,243.544,1.442825058,0.0,0.0,,,2.9630152127815093,0.0015232075630668,extreme_DD_a_y2023_small,0,1,,2.9630152127815093,,3.925401281033244
CHMG,2020,1.0,-0.149205685,-0.144805685,1.648596121,1.389086799,0.072198046,0.070784236,20.85479836,33.88824021,48.86036444,34.66566676,34.66566676,22.06022092,29.33780339,44.69807917,30.89855519,30.89855519,7.731689903,0.001688564,0.793559638,13.62,29.50585,2.538383666,2.755290121,97.24470988,2279.451,3.849,0.028333573,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2020_small,0,1,,35.0,,35.0
CHMG,2021,1.0,0.061469628,0.061869628,1.912913575,1.528545457,0.060940908,0.060100678,19.0205481,31.64618133,54.09664068,35.40002586,35.40002586,20.85479836,33.88824021,48.86036444,34.66566676,34.66566676,7.790892455,0.007510518,1.026589044,14.21,19.30119,2.295074156,1.702913269,98.29708673,2418.475,18.164,0.017324148,0.0,0.0,,,34.068241370512254,1.089713364693536e-254,extreme_DD_a_y2021_small,0,1,,34.068241370512254,,34.068241370512254
COFS,2022,1.0,-0.07962088,-0.06542088,4.055692841,6.732630721,0.708437119,0.600619337,15.8938172,15.25992537,12.47765363,12.06087829,12.06087829,17.43215031,19.95600017,14.44893638,15.09979318,15.09979318,7.777337978,0.035735556,1.290706929,13.8,16.81636,4.94027638,17.74968773,82.25031227,2385.915,85.262,0.215800855,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2022_small,0,1,,35.0,,35.0
OPBK,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,debt_too_low,0,0,,,,
OPBK,2022,1.0,0.102861205,0.117061205,0.117061205,6.605061974,0.597618997,0.597618997,17.26625006,37.80402439,71.41806331,44.67826457,44.67826457,19.0205481,37.73244976,72.21388007,44.94102119,44.94102119,7.647068708,2.39e-05,0.963265273,13.06,28.00812,0.0,0.0,100.0,2094.497,0.05,0.0,0.0,0.0,,,,,debt_too_low,0,1,,,,
FVCB,2021,1.0,0.011594468,0.011994468,1.779803399,1.563775889,0.694351594,0.657317319,17.43215031,17.9356621,41.99922995,24.01581119,24.01581119,18.99807322,20.99433754,29.57716702,21.06097155,21.06097155,7.697540848,0.020204964,1.287671098,10.55,21.14103226,2.242749043,6.668181454,93.33181855,2202.924,44.51,0.071445961,0.0,0.0,,,35.0,1.1249107064724061e-268,extreme_DD_a_y2021_small,0,1,,35.0,,35.0
